site,urb_rur
26360397,Urban
277103999,Urban
468632931,Urban
537503866,Urban
551586946,Urban
660265037,Urban
668743088,Rural
786075897,Urban
814882048,Urban
829877120,Urban
876540969,Urban
944085010,Urban
966737534,Rural
1057953388,Urban
1129920833,Urban
1279530564,Rural
1331433965,Urban
1433296466,Urban
1542349092,Urban
1595864218,Urban
1943507321,Urban
1994180874,Urban
2047939539,Rural
2181274111,Urban
2319900098,Urban
2367456217,Urban
2389407362,Urban
2674796191,Urban
2972103412,Rural
2979304223,Urban
3021745242,Urban
3077667602,Rural
3111179411,Urban
3193166489,Urban
3357394003,Rural
3405385944,Urban
3458527673,Rural
3509325296,Urban
3718830029,Urban
3762727577,Urban
3823699287,Urban
3991963126,Urban
4071635019,Rural
4191946427,Urban
